,values,task,feature,category
63,32.499268,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
64,34.172478,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
65,16.242176,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
66,35.1793,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
67,33.855934,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
68,24.080378,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
69,23.395258,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
70,35.56399,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
71,31.27417,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
72,30.084581,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
73,32.176247,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
74,24.80648,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
75,26.631088,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
76,34.280014,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
77,25.580177,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
78,22.680912,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
79,28.134296,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
80,20.434717,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
81,33.559566,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
82,35.84052,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
83,33.635242,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
84,29.557533,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
85,27.442596,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
86,27.24121,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
87,20.64944,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
88,30.041603,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
89,28.73164,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
90,31.024881,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
91,20.293407,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
92,27.783422,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
93,30.674276,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
94,31.303017,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
95,27.593185,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
96,26.949272,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
97,22.361784,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
98,29.0563,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
99,28.254204,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
100,28.718033,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
101,33.467144,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
102,30.45134,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
103,35.30276,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
104,23.08874,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
105,25.780048,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
106,33.39723,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
107,25.601587,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
108,27.940119,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
109,24.760254,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
110,31.67667,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
111,23.013529,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
112,31.349005,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
113,28.35035,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
114,22.67274,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
115,24.15204,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
116,26.393581,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
117,26.668776,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
118,30.522322,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
119,33.991417,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
120,20.822744,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
121,32.053017,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
122,30.780817,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
123,27.170355,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
124,27.376566,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
125,31.2051,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
126,29.087608,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
127,33.45048,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
128,33.138973,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
129,35.892403,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
130,35.039646,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
131,26.166975,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
132,29.952562,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
133,22.97859,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
134,29.232319,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
135,26.70252,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
136,23.785284,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
137,34.48983,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
138,29.459011,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
139,32.388847,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
140,35.06962,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
141,29.93356,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
142,35.562603,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
143,26.126991,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
144,28.284445,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
145,34.76199,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
146,32.018837,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
147,35.98137,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
148,33.713108,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
149,23.74032,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
150,26.205482,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
151,27.723906,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
152,24.104885,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
153,31.819515,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
154,31.837042,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
155,33.477806,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
156,33.200893,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
157,25.942682,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
158,33.93406,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
159,35.461018,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
160,24.670683,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
161,26.563091,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
162,31.26975,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
163,27.657331,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
164,31.122375,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
165,25.795572,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
166,33.411537,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
167,23.986143,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
168,29.282566,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
169,28.643173,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
170,19.392176,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
171,0.0,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
172,35.483543,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
173,27.15475,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
174,34.80486,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
175,31.212326,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
176,24.367495,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
177,21.629425,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
178,28.689032,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
179,26.44376,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
180,23.54743,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
181,30.2466,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
182,20.648958,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
183,32.7735,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
184,27.904318,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
185,28.769009,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
186,28.367338,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
187,30.604336,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
188,30.68738,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
189,29.022327,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
190,22.932785,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
191,31.012642,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
192,26.48292,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
193,23.842924,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
194,24.71578,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
195,22.419512,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
196,24.134464,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
197,21.351019,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
198,23.549196,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
199,25.701761,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
200,30.275818,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
201,25.920702,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
202,24.203081,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
203,21.768997,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
204,22.4065,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
205,29.896248,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
206,31.75698,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
207,22.458855,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
208,22.168484,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
209,27.801613,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
210,29.798883,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
211,23.34254,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
212,26.700768,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
213,32.436638,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
214,28.572866,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
215,23.693441,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
216,22.216427,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
217,28.50167,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
218,25.091612,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
219,26.195387,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
220,23.834665,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
221,29.355017,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
222,27.839521,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
223,25.44839,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
224,34.86563,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
225,23.439186,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
226,21.734219,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
227,32.53099,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
228,30.445023,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
229,21.580425,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
230,24.690485,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
231,0.24151886,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
232,0.20232496,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
233,0.12810953,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
234,0.25696376,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
235,0.17611645,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
236,0.26751918,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
237,0.1533983,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
238,0.18858074,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
239,0.36243016,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
240,0.24829753,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
241,0.15459639,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
242,0.19083305,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
243,0.16896178,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
244,0.4008001,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
245,0.24539654,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
246,0.25495708,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
247,0.21774541,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
248,0.23275265,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
249,0.29471427,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
250,0.24075638,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
251,0.25600332,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
252,0.27502045,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
253,0.16261102,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
254,0.30826646,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
255,0.21976298,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
256,0.30455008,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
257,0.25129715,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
258,0.32508525,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
259,0.23037006,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
260,0.21656774,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
261,0.21530554,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
262,0.30351576,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
263,0.28831902,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
264,0.2648006,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
265,0.20586655,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
266,0.23268041,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
267,0.20783164,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
268,0.24449566,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
269,0.22137634,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
270,0.271957,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
271,0.25337863,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
272,0.29615518,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
273,0.30490324,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
274,0.3632225,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
275,0.2275796,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
276,0.27943876,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
277,0.20366381,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
278,0.21025842,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
279,0.23322752,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
280,0.3116249,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
281,0.22361025,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
282,0.21025091,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
283,0.23764847,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
284,0.23718418,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
285,0.31717035,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
286,0.29847315,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
287,0.15947957,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
288,0.26870477,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
289,0.26074493,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
290,0.32593307,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
291,0.2900469,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
292,0.37100276,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
293,0.3573361,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
294,0.21481636,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
295,0.1882468,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
296,0.2318769,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
297,0.20757885,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
298,0.22716697,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
299,0.312217,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
300,0.34299883,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
301,0.18223365,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
302,0.21372233,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
303,0.2598246,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
304,0.24805829,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
305,0.17927846,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
306,0.38642934,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
307,0.23746634,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
308,0.3844802,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
309,0.27196696,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
310,0.2613291,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
311,0.23196144,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
312,0.16175885,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
313,0.176343,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
314,0.17719385,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
315,0.24218346,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
316,0.1473127,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
317,0.39892974,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
318,0.27864763,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
319,0.2744976,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
320,0.2720823,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
321,0.2839226,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
322,0.2298142,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
323,0.26190016,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
324,0.33078995,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
325,0.29766616,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
326,0.2131132,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
327,0.24829395,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
328,0.15686731,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
329,0.34385747,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
330,0.28659222,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
331,0.30498475,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
332,0.1888253,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
333,0.26195455,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
334,0.16965826,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
335,0.41256738,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
336,0.21342304,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
337,0.20603824,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
338,0.23308381,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
339,0.24376535,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
340,0.18172531,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
341,0.208665,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
342,0.23378673,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
343,0.2500884,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
344,0.33971143,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
345,0.23418124,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
346,0.31966394,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
347,0.3161757,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
348,0.26139906,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
349,0.27129063,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
350,0.15948342,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
351,0.26356202,book,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency
